date,side,variant,regime,structure,ss,ls,sm,lm,entry,pnl,spot,settle,exp
2023-06-01,call,50d_always_bull,BULL,BPC,4225.0,4215.0,23.95,19.95,3.8,379.03,4221.02,4293.93,2023-06-08
2023-06-01,call,50d_regime_follow,BULL,BPC,4225.0,4215.0,23.95,19.95,3.8,379.03,4221.02,4293.93,2023-06-08
2023-06-01,call,50d_skip_bear,BULL,BPC,4225.0,4215.0,23.95,19.95,3.8,379.03,4221.02,4293.93,2023-06-08
2023-06-01,call,em75_always_bull,BULL,BCD,4270.0,4260.0,8.65,11.5,3.05,694.03,4221.02,4293.93,2023-06-08
2023-06-01,call,em75_always_short,BULL,BCC,4260.0,4270.0,11.5,8.65,2.65,-735.97,4221.02,4293.93,2023-06-08
2023-06-01,call,em75_regime_follow,BULL,BCD,4270.0,4260.0,8.65,11.5,3.05,694.03,4221.02,4293.93,2023-06-08
2023-06-01,call,em75_skip_bear,BULL,BCD,4270.0,4260.0,8.65,11.5,3.05,694.03,4221.02,4293.93,2023-06-08
2023-06-01,put,put_regime,BULL,BPC,4180.0,4170.0,12.65,10.75,1.7,169.03,4221.02,4298.86,2023-06-09
2023-06-02,put,put_regime,BULL,BPC,4240.0,4230.0,11.6,9.6,1.8,179.03,4282.37,4338.93,2023-06-12
2023-06-05,call,50d_always_bull,BULL,BPC,4280.0,4270.0,25.2,20.65,4.35,434.03,4273.79,4338.93,2023-06-12
2023-06-05,call,50d_regime_follow,BULL,BPC,4280.0,4270.0,25.2,20.65,4.35,434.03,4273.79,4338.93,2023-06-12
2023-06-05,call,50d_skip_bear,BULL,BPC,4280.0,4270.0,25.2,20.65,4.35,434.03,4273.79,4338.93,2023-06-12
2023-06-05,call,em75_always_bull,BULL,BCD,4320.0,4310.0,8.1,10.65,2.75,724.03,4273.79,4338.93,2023-06-12
2023-06-05,call,em75_always_short,BULL,BCC,4310.0,4320.0,10.65,8.1,2.35,-765.97,4273.79,4338.93,2023-06-12
2023-06-05,call,em75_regime_follow,BULL,BCD,4320.0,4310.0,8.1,10.65,2.75,724.03,4273.79,4338.93,2023-06-12
2023-06-05,call,em75_skip_bear,BULL,BCD,4320.0,4310.0,8.1,10.65,2.75,724.03,4273.79,4338.93,2023-06-12
2023-06-05,put,put_regime,BULL,BPC,4235.0,4225.0,12.55,10.35,2.0,199.03,4273.79,4369.01,2023-06-13
2023-06-06,call,50d_always_bull,BEAR,BPC,4290.0,4280.0,24.3,19.9,4.2,419.03,4283.85,4369.01,2023-06-13
2023-06-06,call,50d_regime_follow,BEAR,BPD,4280.0,4290.0,19.9,24.3,4.6,-460.97,4283.85,4369.01,2023-06-13
2023-06-06,call,em75_always_bull,BEAR,BCD,4330.0,4320.0,9.1,11.8,2.9,709.03,4283.85,4369.01,2023-06-13
2023-06-06,call,em75_always_short,BEAR,BCC,4320.0,4330.0,11.8,9.1,2.5,-750.97,4283.85,4369.01,2023-06-13
2023-06-06,call,em75_regime_follow,BEAR,BCC,4320.0,4330.0,11.8,9.1,2.5,-750.97,4283.85,4369.01,2023-06-13
2023-06-06,put,put_regime,BEAR,BPD,4230.0,4240.0,11.2,13.2,2.2,-220.97,4283.85,4372.59,2023-06-14
2023-06-07,call,50d_always_bull,BEAR,BPC,4270.0,4260.0,26.9,22.65,4.05,404.03,4267.52,4372.59,2023-06-14
2023-06-07,call,50d_regime_follow,BEAR,BPD,4260.0,4270.0,22.65,26.9,4.45,-445.97,4267.52,4372.59,2023-06-14
2023-06-07,call,em75_always_bull,BEAR,BCD,4320.0,4310.0,8.45,11.05,2.8,719.03,4267.52,4372.59,2023-06-14
2023-06-07,call,em75_always_short,BEAR,BCC,4310.0,4320.0,11.05,8.45,2.4,-760.97,4267.52,4372.59,2023-06-14
2023-06-07,call,em75_regime_follow,BEAR,BCC,4310.0,4320.0,11.05,8.45,2.4,-760.97,4267.52,4372.59,2023-06-14
2023-06-07,put,put_regime,BEAR,BPD,4215.0,4225.0,11.6,13.65,2.25,-225.97,4267.52,4425.84,2023-06-15
2023-06-08,call,50d_always_bull,BULL,BPC,4300.0,4290.0,28.55,24.1,4.25,424.03,4293.93,4425.84,2023-06-15
2023-06-08,call,50d_regime_follow,BULL,BPC,4300.0,4290.0,28.55,24.1,4.25,424.03,4293.93,4425.84,2023-06-15
2023-06-08,call,50d_skip_bear,BULL,BPC,4300.0,4290.0,28.55,24.1,4.25,424.03,4293.93,4425.84,2023-06-15
2023-06-08,call,em75_always_bull,BULL,BCD,4345.0,4335.0,9.2,11.85,2.85,714.03,4293.93,4425.84,2023-06-15
2023-06-08,call,em75_always_short,BULL,BCC,4335.0,4345.0,11.85,9.2,2.45,-755.97,4293.93,4425.84,2023-06-15
